sentiment,emotion,summary
😫,Neutral,Frustration/Disappointment
😫,Disgust,"This comment suggests feeling nauseous or uncomfortable, possibly due to graphic content."
😫,Disgust,"""She made me throw up, 💔💔💔"" expresses nausea and disgust."
😩,Disgust,The reviewer finds the situation disturbing or repulsive.
😞,Sadness,"""We know our own SDM is very low."" conveys a feeling of dissatisfaction and sadness regarding the situation."
😞,Sadness,The reviewer expresses sadness over the situation.
😜,Amusement,"This comment is playful and humorous, suggesting the speaker is joking or being sarcastic."
😘,Happiness,"""Finally, their animal can calm down."" expresses relief and joy."
😕,Sadness,"The sentiment is one of disappointment and sadness, questioning the effectiveness of Pandawara."
😇,Happiness,"""Thanks, Pandawara."" is a grateful and positive sentiment."
😅,Mixed,"Surprise - The review expresses amusement, indicating a surprising or unexpected reaction."
😂,Happiness,Intense laughter and amusement
😂,Happiness,"""I'm LG eating, 🙏 forgive me."" is a humorous, light-hearted statement."
😂,Happiness,"""Thought she was a baby from elementary/middle school."" is a humorous observation."
😁,Happiness,Contentment and joy
😁,Positive,"Happiness - The review conveys a simple, happy smile."
🗿🗿🗿,Neutral,No comment or emotion is expressed.
🔥🔥🔥,Positive,Happiness - The review expresses intense positivity or excitement.
🔥🔥,Happiness,Expressing enthusiasm or admiration for something amazing.
🔥🔥,Positive,"Happiness - The fire symbol is often used to express excitement or approval, indicating a positive review."
🔥,Anger,The reviewer is expressing anger or frustration.
🔥,Happiness,Expressing admiration or enthusiasm for something amazing.
💯💯,Positive,Happiness - The review expresses extreme satisfaction or happiness.
🏆,Happiness,"This comment is also positive and encouraging, expressing admiration and support."
🏆,Happiness,"This comment is positive and appreciative, expressing joy and gratitude."
🌷,Mixed,"Surprise - The emoji suggests a mix of emotions, possibly surprise due to its unconventional nature."
❤️❤️❤️,Positive,Love - The repeated heart emojis indicate love or affection.
✌️,Neutral,"No clear emotion - The review is neutral, expressing a simple gesture of peace."
ihhh baunya sampe kesini anj,Disgust,Expressing distaste or annoyance
"Your tasks are your tasks, yet those who dirty our land, turn it into a mess, it's Padawara, Padawara who has to clean up. Lol.",Negative,Frustration - This tweet humorously conveys a sense of frustration and injustice.
Worry,Anxiety,Pandawara should rest first. It's very risky for health. Take care of your body... while society keeps pushing until whenever they won't realize it...
Worry,😬,"The reviewer is cautioning others, indicating a sense of concern or worry."
Winking face,Mixed,"Happiness - This emoji suggests amusement or humor, indicating a mixed sentiment leaning towards happiness."
Winking face,Surprise,"This emoji suggests a playful, unexpected element, fitting the Surprise category."
Winking Face With Tongue,Happiness,The review is playful and amused.
Watching while covering my nose [photo],Negative,Disgust - The photo context with the vomit emoji implies disgust.
Very sweet,Happiness,The sweetness of the moment was heartwarming. (Repeated three times)
Very Funny,Happiness,The multiple 😭 emojis indicate intense laughter and amusement.
Three smiling faces with hearts,Happiness,"This combination of emojis strongly indicates a highly positive sentiment, aligning with Happiness."
Three heart eyes,Positive,Happiness - It represents admiration and joy.
Three heart eyes,Positive,"Love - This emoji intensifies the expression of admiration or love, indicating a positive sentiment."
Three deep bows,Neutral,"This emoji typically expresses deep respect or apology, indicating a neutral sentiment."
Three deep bows,Neutral,"This emoji typically expresses deep respect or apology, indicating a neutral sentiment."
"Those who say ""that's Padawara's task, that's Padawara's task""","how much does Padawara get paid? It's so comfortable to be helped, cleaned, and opened, yet sometimes you're just made to clean up again. It's like the government is corrupt, some of the people are like this, they should be grateful instead of being helped. It's foolish, they don't have brains.",Negative - Anger - This statement expresses anger and frustration towards those who take advantage of others' help and the perceived corruption in the government.
Thanks a lot,Positive,"Happiness - It expresses gratitude, a positive emotion."
Thankful,🙏,Thankful
"Thank you, Pandawara ♥️",Positive,"Happiness - This is a clear expression of gratitude and positive sentiment, fitting Happiness."
Surprise,Fear,I thought it was a corpse 😅
Surprise,Disgust,😱😱😱
Surprise,Happiness,"Swear, you won't even throw up, that's impressive. (The review expresses surprise and happiness due to an unexpected positive outcome.)"
Surprise,🤔,This expresses curiosity or surprise.
Surprise,😮,"The reviewer was surprised by the sight, likely in a negative context."
Surprise,🤯,I thought it was a baby's body
Surprise,Surprise,"This review shows surprise with ""😯""."
Surprise,😳,"The reviewer was surprised by something, possibly a plot twist or unexpected event."
Surprise,Surprise,"That must be Digitus' (a character) last gesture before he died, because his mouth was also paralyzed, so he did it intentionally to annoy people. (Expresses surprise and amusement)"
Surprise,Surprise,"The repeated ""oh my god"" indicates a high level of surprise."
Surprise,Surprise,😭 What is that?
Surprise,Surprise,WHAT IS THAT 😭
Surprise,😳,"I was about to comment and report to the police, thinking I'd found a human corpse"
Surprise,😳😳😳,This review expresses strong surprise.
Surprise,😳😳😳😳😳😳,"Surprise, possibly also Anger or Fear"
Surprise,Surprise,"""Huh? This is new!"" indicates a surprising or unexpected situation."
Surprise,😳😳😳,"This review expresses surprise or shock, possibly due to unexpected information or events."
Surprise,😭,"If I meet a baby's body, what can I do"
Surprise,😮,The reviewer was shocked by the sight of what they thought was a baby corpse.
Surprise,😮,"This expresses surprise, indicating a mixed or unexpected reaction."
Surprise,Surprise,"The repeated ""😳"" indicates surprise or shock."
Surprise,😭,"The reviewer is shocked or surprised, possibly in a negative way."
Surprise,Surprise,"The use of ""😯"" typically conveys surprise or disbelief."
Surprise,The comment seems to express unexpected disbelief,His breath doesn't reach here but up his nose 😑
Surprise,Huh? This time,This phrase suggests surprise or confusion about a sudden change or event.
Surprise,Surprise,"""😳"" usually expresses shock or sudden fear, but in this context, it likely conveys surprise."
Surprise,Surprise,Oh my!
Suggestion,Neutral,The review offers a suggestion without expressing emotion.
Smiling face with smiling eyes,Positive,"Happiness - This emoji expresses happiness or amusement, suggesting a positive sentiment."
Smiling face with smiling eyes,Positive,"Happiness - This emoji conveys happiness or amusement, suggesting a positive sentiment."
Smiling face with smiling eyes,Positive,"Happiness - This emoji conveys happiness or amusement, suggesting a positive sentiment."
Smiling face with smiling eyes,Positive,"Happiness - This emoji conveys happiness or amusement, suggesting a positive sentiment."
Smiling face with hearts (comment 6),Positive,"Happiness - This emoji conveys joy and love, indicating a positive sentiment."
"Smiling face with hearts (comment 4, repeated)",Positive,"Happiness - Repetition reinforces the positive, happy sentiment."
Smiling face with hearts (comment 3),Positive,"Happiness - This emoji combines love and happiness, classifying it as a positive sentiment."
Smiling face with hearts,Happiness,"This emoji, similar to the others, expresses a strong positive emotion, fitting Happiness."
Smiling face with hearts,Happiness,"This emoji expresses strong positive feelings, fitting the Happiness category."
Smiling face with hearts,Happiness,"This emoji, like others, conveys a positive, affectionate sentiment, fitting Happiness."
Seeking Forgiveness,"""astagfirullah""","A phrase in Arabic, often used to seek forgiveness from God."
Same as Review 4,Negative,"Surprise - Same as Review 4, three empty chairs suggest surprise or disappointment."
Sadness/Fear,😭,The reviewer expresses sadness or fear upon contemplating encountering a baby's body.
Sadness,😭😭😭,The reviewer expresses empathy and sadness towards a dog's unfortunate situation.
Sadness,"😭, 😭","The reviewer shows deep sadness and possibly empathy, possibly due to a distressing situation."
Sadness,😢😢😢😢,This review expresses intense sadness or grief.
Sadness,😭😭😭,"Oh my, it's so pitiful how well-behaved the dogs are, yet they're the ones being thrown away."
Sadness,😥,This review conveys a sense of sadness or disappointment.
Sadness,😥,"Oh my, it's so heart-wrenching."
Sadness,😭🥺,The combination of 😭 (laughter/crying) and 🙏 (prayer hands) suggests deep sadness or melancholy.
Sadness,"Oh, so pitiful. 😥",The reviewer expresses sympathy or sadness.
Sadness,😩😩,The reviewer seems saddened or distressed by a plea for forgiveness.
Sadness,😥💓,"It's so pitiful, look at him"
Sadness,😭💓,"It's so pitiful, poor thing"
Sadness,😭,"This expresses sadness, despite the mention of being Muslim."
Sadness,Inna lillahi wa inna ilayhi raji'un,"This Arabic phrase translates to ""We belong to Allah, and to Him we return,"" often used in times of grief or loss."
Sadness,😔,"This review conveys a sense of sadness or disappointment, possibly indicating dissatisfaction with something."
Sadness,🙥😭,"Oh my God, it's pitiful"
Sadness,Sadness,The reviewer expresses sadness over the death of an animal.
Sadness,😭🥺,"Oh, Allah, it's pitiful..."
Sadness,😭,She's vomiting blood
Sadness,😭,The reviewer expresses sadness or empathy for a poor dog's situation.
Sadness,😥,This expresses a feeling of sadness or melancholy.
Sadness,😭🗿🗿🗿,The repeated use of 😭 suggests deep sadness or grief.
Sadness,😭,"If I met a baby's body, I'd"
Sadness,😭😭😭,"""Oh Allah, it's so sad 😭😭😭, the dogs are so well-behaved yet they litter!"""
Sadness,😥,This conveys a sense of disappointment or sadness.
Sadness,🥺,Feel sorry for them
Sadness,😔,The friendship I desire...
Sadness,😭,"""Is the land becoming filthy?"""
Sadness,😢 (Pleading or sad),The review conveys a sense of sadness or pleading.
Sadness,🥺,"Oh Lord 🥺 At least if you don't want to take care of it, don't throw it away like that, oh my..."
Sadness,😭,I can't even imagine the smell
Sadness,🥲,This review conveys a sense of sadness or disapproval.
Sadness,😭,"This review expresses sadness, possibly due to personal beliefs or circumstances."
Sadness,"""Kasiaaan, kenapa gk dikubur aja siii 😭""","It's heartbreaking, why wasn't it just buried? 😭"
Sadness,😞,"This is a sad face emoji, indicating sadness or disappointment."
Sadness,😭,"It's not hard to rot, it's just as sad to be used as fertilizer like that. (Expresses sadness)"
Sadness,🥺😭,"Oh my goodness, it's pitiful"
Sadness,😭💓,It's so pitiful
Sadness,😔,This review expresses a feeling of sadness or melancholy.
Sadness,😭🥺,"It's so pitiful, poor thing."
Sadness,😢,This emoji indicates sadness or sorrow.
Sadness,Surprise,"It's pitiful, not buried worthily but thrown into the river 😔😔😔."
Sadness,Disgust,The comment expresses sadness and disapproval towards the dog's treatment.
Sadness,Sadness,The emoji 😔 typically represents sadness or disappointment.
Sadness,The video that makes you want to cry 😭😭😭,This review evokes strong feelings of sadness and empathy.
Sadness,😭,The reviewer expresses strong sadness or distress.
Sadness,🥺💓,The review expresses empathy and sadness towards someone's heartbreaking crying.
Sadness,"Oh Lord 🥺 at least if you really don't want to be treated, don't be thrown away like that, oh my...",This review expresses sadness or dismay at a perceived injustice.
Sadness,😭🥺,It's so pitiful.
Sadness,"The comment implies concern and disappointment, suggesting a negative emotion","@pandawara, you don't need to be so clean, it's a big risk for you, especially if you bring diseases home 😔"
Sadness,😢🗿,It's a shame to open comments?
Sadness,Sadness,"Even though I'm Muslim, I'm not really brave, it's so sad 😭 (The review expresses deep sadness, indicating a negative sentiment.)"
Sadness,😟,"So pitiful, was it thrown away intentionally?"
Sadness,😥,"It's so sad to see animals treated like this, guys. Humans have brains, right? Thanks for properly burying them 🥺🥺"
Sadness,🥺,"So pitiful for the angel, just lucky to be buried already"
Sadness,Sadness,The video that makes you want to cry 😭😭😭
Sadness,😭🥺,Please be careful
Sadness,🥺💓,"It's so pitiful, poor thing"
Sadness,Sadness,The use of 😔 indicates sadness or disappointment.
Sadness,🥺😭,"Oh my, it's pitiful"
Sadness,😭🥺,"Oh, Allah, so pitiful"
Sadness,Sadness,"The review conveys a sense of pity and discomfort, evoking sadness due to overwhelming noise."
Sadness,😩,The reviewer seems to express disappointment or sadness.
Sadness,😥💓,"It's so pitiful, looking at the baby's cry"
Sadness,"The comment conveys a sense of pity and disapproval, indicating a negative emotion","It's pitiful, not buried worthily but thrown in the river 😔😔😔"
Sadness,😭🥺,"Oh my God, it's pitiful"
Sadness,"Oh, is that one really dead? Was it intentional to waste their lives? 😟 So sad",This review expresses deep sadness and regret.
Sadness,😭💓,"It's so pitiful, the poor guy"
Sadness,It's so pitiful for the ones who are lucky enough to be buried already 😥,This review expresses profound sadness and empathy.
Sadness,The combination of laughter and distress emojis suggests a complex emotion of surprise and sorrow,Spirits down 😞😢
Sadness,😢😢😢😢,This sequence of
Sad face,Sadness,"This emoji clearly expresses a negative sentiment, fitting the Sadness category."
Rolling on the floor laughing,Positive,Happiness - This emoji signifies intense amusement and joy.
Rolling on the floor laughing,Happiness,"Laughed heartily, it was extremely funny."
Rolling eyes (comment 1),Negative,"Disgust - This emoji expresses disbelief or disdain, aligning with the emotion of disgust."
Reverence,"Oh God, protect","The reviewer is expressing a plea for divine protection, akin to reverence."
Religious,Regret/Remorse,"""Astagfirullah"" is an Arabic phrase used for seeking forgiveness from God, indicating a sense of regret or remorse."
"Reflect on your own nose too. By the way, Padawara is really great, always healthy.",Positive,"Happiness - This statement is a positive comment about someone named Padawara, expressing admiration and joy."
ROFL,Happiness,"The humor was hilarious, causing intense laughter."
ROFL,Happiness,The review was filled with uncontrollable laughter.
ROFL,Happiness,The content was so amusing it caused continuous laughter.
Praying hands,Happiness,"Similar to the third review, this emoji conveys a positive, grateful emotion, fitting Happiness."
Praying hands,Happiness,"Typically used to express gratitude or joy, indicating a positive sentiment, thus Happiness."
Praying hands,Happiness,"As previously mentioned, this emoji generally conveys a positive, grateful emotion, fitting Happiness."
Pouting face,Negative,Sadness - This emoji indicates disappointment or sadness.
Pouting,Sadness,"Disappointed with the outcome, it left me feeling down."
Positive,Love,💗💗💗
Positive,Happiness,"😇😇, MAYBE WHAT YOU DID WILL BE PAID IN FULL, THANK YOU FOR BEING A HERO. STAY HEALTHY EVERYONE"
Positive,Happiness,😍😍😍 (Happiness or Delight)
Positive,Happiness,This statement expresses gratitude and admiration.
Positive,Happiness,"""Healthy warrior, respect for Pandawara"" suggests admiration and respect."
Positive,Neutral,The statement is a request with no clear emotional tone.
Positive,Pride,Semangat pandawara 👍🏻 (Pride or Self-Esteem)
Positive,Happiness,"I'm also affected, I can't help but laugh 🗿"
Positive,Happiness,This statement expresses gratitude and appreciation.
Positive,Admiration,"Oh my goodness, salute to this Pandawa 🥰"
Positive,Happiness,🙏
Positive,Happiness,I watched it non-stop till dawn 😭😭😭
Positive,Encouragement,"The user encourages and motivates, indicating happiness or contentment."
Positive,Happiness,This statement expresses admiration and approval.
Positive,Anger,🔥🔥
Positive,Happiness,🥰
Positive,No emotion detected,"Pandawara doesn't need words, it only needs real actions to protect the environment"
Positive,Happiness,Thumbs up for the effort!
Positive,Happiness,"Spirit of Pandawara, thank you for all your hard work. (Expressing gratitude)"
Positive,Happiness,"The reviewer is expressing gratitude, indicating happiness or contentment."
Positive,Happiness,😁
Positive,Happiness,😁
Positive,Happiness,😁
Positive,Happiness,You guys are so great 😍
Positive,Happiness,"The reviewer is expressing joy or amusement, possibly due to overeating, symbolized by the ""😭🗿🗿""."
Positive,Happiness,"You guys are handsome in every way, making the universe proud 💨"
Positive,Happiness,"The reviewer is expressing joy or amusement, possibly due to overeating, symbolized by multiple ""😭""."
Positive,Happiness,Encouragement and blessings are expressed for Tim Pandawara.
Positive,Happiness,"😭😭 Thank you so much, auntie"
Positive,Happiness,Encouragement and gratitude are expressed for Tim Pandawara.
Positive,Respect,"The statement implies respect and admiration, akin to happiness derived from admiration."
Positive,Happiness,Thumbs up for the warrior spirit👍🏻
Positive,Happiness,😍😍😍
Positive,Happiness,I watched it all morning 😭😭😭
Positive,Happiness,"Best, buddy"
Positive,Admiration,"Healthy like a warrior, respect for Pandawara"
Positive,Happiness,You guys are amazing!
Positive,Happiness,"The repeated use of ""😷"" suggests a sense of playfulness or amusement, possibly indicating happiness."
Positive,Happiness,🥰
Positive,Gratitude,Its owner isn't even human 🙏 (thank you so much for burying it properly) - The reviewer feels gratitude towards someone who treated a deceased animal with respect.
Positive,Happiness,"This comment expresses admiration and praise, indicating happiness."
Positive,Happiness,"""The best, buddy"" implies a positive sentiment, specifically happiness or satisfaction."
Positive,Happiness,"You guys are handsome in every way, good deeds included. Makasih, you're helping the universe. 💨"
Positive,Happiness,"😭😭😭 (full of laugh, very funny)"
Positive,Happiness,"Cheer up, Pandawara team, thank you for all your hard work. Sorry for those who provoke and don't take responsibility"
Positive,Happiness,"Checking every day, making a fuss every time. #respect"
Positive,Happiness,I'm also included in the laughter🗿
Positive,Happiness,Encouragement is given to keep up the spirit.
Positive,Happiness,"The user finds humor in the situation, indicating amusement and joy."
Positive,Happiness,😁
Positive,Happiness,🙏
Positive,Happiness,You guys are amazing
Positive,Happiness,😭 (Laughter)
Positive,Happiness,This is on fire! - Expressing excitement and enthusiasm.
Positive,Happiness,😁
Positive,Happiness,"The reviewer is encouraging positivity and spirit, indicating happiness or motivation."
Positive,Gratitude,"The user expresses thanks and appreciation, indicating happiness."
Positive,Happiness,"The encouragement ""Go for it!"" suggests enthusiasm and support, aligning with happiness."
Positive,Neutral,"Please wear a mask, thank you🙏🙏"
Positive,Happiness,😁
Positive,Gratitude,"Its owner is not a human, thank you very much for burying it properly"
Positive,Happiness,Best panda ever 🥰
Positive,Happiness,"May you be rewarded for your deeds, you're already a hero. Thank you and stay healthy 🙏🏻"
Positive,Happiness,"The comment expresses amusement and enjoyment, indicated by ""😭🤣"", suggesting laughter and happiness."
Positive,Anger,🔥
Positive,Happiness,"The comment expresses relief and happiness, indicated by ""😭"", suggesting laughter and joy."
Positive,Happiness,Best Pandawara (a term often used to refer to a skilled or impressive person) 🥰
Positive,Happiness,😂
Positive,Happiness,😂
Positive,Happiness,You're so amazing
Positive,Happiness,🔥
Positive,Happiness,"Please, be careful."
Positive,Happiness,Please wear masks
Positive,Happiness,"""😂"" signifies laughter and amusement."
Positive,Happiness,You guys are amazing
Positive,Happiness,Best panda ever 🥰
Positive,Happiness,This is hot!
Positive,Surprise,😯
Positive,Trust,"That's Pandawaraa, no need for words. We just need solid proof from you to protect the environment"
Positive,Trust,"Healthy, warrior, respect for Pandawara"
Positive,Happiness,"The comment suggests amusement and joy, indicating happiness, likely from finding humor in a situation."
Positive,Gratitude,"May what you do be rewarded with just compensation and more, thank you for being a hero. 🙏🏻 Stay healthy everyone."
Positive,Happiness,"Best, bro"
Positive,Gratitude,"Please wear a mask, thank you 🙏🙏"
Positive,Gratitude,Acknowledging hard work and apologizing for provocation.
Positive,Happiness,"Best, buddy."
Positive,Encouragement,Motivational statement.
Positive,Happiness,"""Masya Allah, salute to this Pandawa 🥰"" expresses admiration and joy."
Positive,Excitement,🔥🔥 (Expresses excitement or enthusiasm.)
Positive,Happiness,😭😭 suggests joy or happiness.
Positive,Happiness,"The comment conveys amusement and joy, indicating happiness. The multiple 😭 suggest a high level of laughter."
Positive,Happiness,I'm feeling cheerful
Positive,Happiness,"☺️☺️ (Positive sentiment, expressing gratitude and well-wishing)"
Positive,Happiness,😁
Positive,Happiness,"The excessive use of 😭 indicates extreme laughter or joy, suggesting a highly positive reaction."
Positive,Happiness,"""🔥"" is used to express enthusiasm or approval."
Positive,Happiness,They're so impressive
Positive,Happiness,"Thanks a lot, auntie 😭😭."
Positive,Happiness,"The use of ""😱"" suggests intense excitement or happiness."
Positive,Happiness,"""The best pandawara 🥰"" conveys happiness and affection."
Positive,Happiness,"That's the proof we need to protect the environment, Pandawara doesn't need words"
Positive,Happiness,"The review expresses enthusiasm with ""🔥🔥"", indicating excitement and joy."
Positive,Caution,Please be careful
Positive,Gratitude,"The owner isn't even human 🙏, thanks so much for burying it properly."
Positive,Caution,"Please wear a mask, Kak 😷😷"
Positive,Happiness,"The review expresses a happy, smiling emotion with multiple 😀 emojis."
Positive,Happiness,Ngerii amayy (a term of endearment or surprise).
Positive,Encouragement,Keep up the spirit....
Positive,Happiness,"If I meet a baby's body, I'll laugh 😭"
Positive,Happiness,"Spirited Pandawara, thank you for all your hard work. Apologies to those who provoke and are irresponsible"
Positive,Gratitude,"Spirit of Pandawaraa, thank you for all your hard work. Apologies to those who provoke and are irresponsible"
Positive,Gratitude,"The review expresses thankfulness and appreciation, aligning with gratitude in Ekman's model."
Positive,Happiness,😁 (Shows happiness or contentment.)
Positive,Happiness,Expressing admiration and appreciation.
Positive,Respect,"Healthy, like a hero, respect for the Pandawara."
Positive,Happiness,"The repeated use of 😍 indicates strong affection or admiration, aligning with happiness."
Positive,Happiness,"The best pandawara (a term of endearment or respect, often used for children or pets) 🥰"
Positive,Gratitude,"Please wear a mask, thank you. 🙏🙏 (Expresses gratitude and appreciation for safety measures.)"
Positive,Happiness,😂
Positive,Happiness,😇
Positive,Happiness,😭 (Very funny)
Positive,Happiness,"I watched it super early, it was 😭😭😭 hilarious."
Positive,Happiness,"The review encourages positivity and spirit, suggesting an uplifting sentiment."
Positive,Happiness,You guys should wear masks
Positive,Happiness,"Best, kk (a term of endearment or familiarity)"
Positive,Gratitude,"""🙏"" expresses thankfulness or gratitude."
Positive,Happiness,😁 (Shows happiness or contentment.)
Positive,Gratitude,"May God reward you for what you've done, even more than a hero. 🙏🏻 Stay healthy everyone. (Expresses gratitude and well-wishing.)"
Positive,Happiness,"The comment expresses extreme laughter, indicating a high level of happiness or amusement."
Positive,Happiness,Keep up the spirit....
Positive,Happiness,"The relief expressed with 😭 suggests a positive, joyful experience or outcome."
Positive,No emotion detected,"Please wear a mask, okay 🙏🙏"
Positive,Happiness,"The comment encourages and supports someone, conveying a sense of happiness or positivity."
Positive,Respect,"""Healthy warrior, respect for the pandawara"""
Positive,Anger,🔥
Positive,Happiness,"Pandawara doesn't need words, Pandawara only needs concrete proof from us to protect the environment."
Positive,Happiness,"Salute to this Pandawa (a term of respect or admiration, likely referring to a person or character) 🥰"
Positive,Happiness,"Please, be careful. (This could be interpreted as a concern, but the sentiment is generally positive and supportive.)"
Positive,Surprise,Whoa!
Positive,Happiness,"The reviewer enjoyed the content so much they watched it all morning, ""I watched it all morning 😭😭😭""."
Positive,Happiness,"""🥰"" conveys a feeling of warmth and happiness."
Positive,Happiness,"The comment expresses intense laughter, suggesting extreme happiness or amusement."
Positive,Happiness,"""😁"" signifies a content, happy expression."
Positive,Happiness,Kaliannn is so great!
Positive,Happiness,😭 (funny/laugh)
Positive,Request,Please wear masks.
Positive,Happiness,😁
Positive,Anger,🔥🔥
Positive,Encouragement,"Keep up the spirit, really..."
Positive,Encouragement,"Keep up the spirit, Pandawara! Thank you for all your hard work. Sorry for those who provoke and don't take responsibility."
Positive,Happiness,"The review expresses intense laughter and enjoyment, indicating happiness."
Positive,Sadness,"Please wear a mask, thank you. 🙏🙏"
Positive,Happiness,"The review humorously expresses admiration for Anis' life, suggesting envy and joy."
Positive,Happiness,The repeated use of
Positive,Sadness,"Spirits up, Tim Pandawara! May your good deeds be blessed by Allah and always under His protection. It's really pitiful for those who vomit, may they stay strong. ☺️☺️"
Positive,Advice,You guys should wear masks
Positive,Happiness,That's hilarious!
Positive,Happiness,😁
Positive,Happiness,"I'm eating, 😂"
Positive,Happiness,The reviewer expresses admiration or affection.
Positive,Pride,"Still great, very proud"
Positive,Encouragement,"Stay healthy, all of you"
Positive,Happiness,The reviewer expresses gratitude and admiration.
Positive,Happiness,"The statement is encouraging and positive, indicating happiness."
Positive,Happiness,"The comment is supportive and appreciative, reflecting happiness."
Positive,Happiness,"The statement is a simple expression of approval, indicating happiness."
Positive,Happiness,"The comment expresses amusement and laughter, suggesting happiness. 😭"
Positive,Happiness,Crying with laughter 😭😭😭 indicates a highly enjoyable and amusing experience.
Positive,Happiness,I thought I was a baby sheep. 😂😂
Positive,Happiness,"😊 indicates a simple, positive emotion."
